time,ax,ay,az,aT
123.296212,-0.0094,0.0088,-0.0221,0.026
124.297570,-0.0105,0.0222,0.0028,0.025
125.298614,-0.0389,0.0243,-0.0040,0.046
126.307907,0.0077,0.0097,-0.0458,0.047
127.309027,0.0123,-0.0197,-0.0354,0.042
128.325583,0.0066,0.0400,-0.0094,0.042
129.301991,-0.0018,-0.0476,0.0055,0.048
130.302734,-0.0299,-0.0185,0.0005,0.035
131.303286,-0.0133,0.0047,-0.0168,0.022
132.304315,-0.0008,-0.0087,0.0091,0.013
133.305444,-0.0078,-0.0051,-0.0220,0.024
134.305944,-0.0039,0.0070,-0.0108,0.013
135.307330,0.0045,0.0035,-0.0101,0.012
136.307886,0.0161,-0.0163,0.0041,0.023
137.309005,0.0146,0.0068,-0.0245,0.029
138.310136,-0.0126,-0.0132,0.0101,0.021
139.311250,0.0047,0.0080,0.0090,0.013
140.325207,0.0116,-0.0203,0.0010,0.023
141.323282,-0.0027,-0.0027,-0.0014,0.004
142.339106,-0.0165,-0.0006,0.0234,0.029
143.312628,0.0073,-0.0108,-0.0009,0.013
144.314053,0.0112,0.0147,-0.0114,0.022
145.314431,-0.0077,-0.0098,-0.0385,0.041
146.314995,0.0846,-0.0016,-0.0341,0.091
147.314664,-0.0507,0.1765,-0.0215,0.185
148.316851,0.0849,-0.0409,-0.1444,0.172
149.321829,0.0758,0.0326,0.1334,0.157
150.317552,0.0028,0.1081,-0.0753,0.132
151.318346,0.0587,-0.0809,0.0071,0.100
152.320466,-0.0064,-0.0007,0.0082,0.010
153.338081,-0.0415,0.0029,0.0001,0.042
154.345152,-0.0197,0.0080,-0.0118,0.024
155.338572,0.0033,-0.0306,-0.0237,0.039
156.334145,-0.0172,0.0090,0.0029,0.020
157.350830,-0.0075,0.0450,-0.0077,0.046
158.328743,-0.0138,-0.0016,-0.0094,0.017
159.328970,0.0030,0.0133,-0.0202,0.024
160.329616,0.0086,0.0144,-0.0141,0.022
161.330464,0.0027,0.0066,-0.0118,0.014
162.331576,-0.0229,-0.0001,0.0017,0.023
163.331647,0.0067,0.0195,0.0081,0.022
164.332251,-0.0177,-0.0012,-0.0104,0.021
165.333838,0.0142,-0.0010,-0.0201,0.025
166.334263,-0.0233,-0.0111,-0.0180,0.031
167.334909,-0.0335,-0.0054,-0.0009,0.034
168.352329,-0.0019,0.0183,-0.0115,0.022
169.368360,-0.0077,-0.0296,-0.0103,0.032
170.337701,-0.0126,-0.0080,-0.0220,0.027
171.338235,0.0078,0.0098,-0.0082,0.015
172.338872,0.0104,0.0054,-0.0018,0.012
173.339708,-0.0104,-0.0205,-0.0112,0.026
174.340588,-0.0284,-0.0110,-0.0183,0.036
175.341263,-0.0006,0.0284,-0.0125,0.031
176.342735,0.0189,-0.0141,-0.0038,0.024
177.343186,0.0038,-0.0133,-0.0100,0.017
178.344614,-0.0116,-0.0068,-0.0109,0.017
179.345162,-0.0014,-0.0194,-0.0056,0.020
180.351547,-0.0103,0.0111,-0.0366,0.040
181.351117,-0.0013,-0.0050,-0.0034,0.006
182.367739,-0.0024,0.0077,-0.0261,0.027
183.348899,-0.0079,0.0379,0.0278,0.048
184.350678,-0.0228,-0.0118,-0.0051,0.026
185.351197,0.0111,0.0388,-0.0410,0.058
186.352024,0.0408,0.0097,-0.0093,0.043
187.353194,0.0300,0.0268,-0.0234,0.047
188.353920,0.0376,-0.0573,0.0113,0.069
189.355304,-0.0139,0.0167,0.0085,0.023
190.356522,-0.0097,-0.0024,-0.0357,0.037
191.356709,-0.1140,-0.0542,-0.0371,0.132
192.366401,-0.0114,-0.0092,-0.0279,0.032
193.367589,0.0516,0.0386,-0.0207,0.068
194.383050,-0.0515,0.0002,0.0100,0.052
195.359065,0.0025,0.0129,-0.0167,0.021
196.359553,-0.0082,-0.0266,-0.0123,0.030
197.360557,0.0324,-0.0017,-0.0174,0.037
