time,ax,ay,az,aT
125.808358,0.0997,0.0568,-0.0565,0.128
126.807575,0.0389,0.0031,0.0118,0.041
127.823258,0.0460,-0.0209,0.1959,0.202
128.798677,0.1592,0.0374,0.3518,0.388
129.799301,0.2845,0.1372,-0.3357,0.461
130.800630,-0.5121,-0.1087,0.2497,0.580
131.801091,-0.0913,0.0118,0.1953,0.216
132.801474,0.2196,-0.0221,0.1288,0.256
133.802451,-0.0359,0.0046,-0.1104,0.116
134.804247,-0.0373,-0.0068,0.0377,0.053
135.805084,0.0468,-0.0005,-0.0026,0.047
136.805431,-0.1999,-0.0154,-0.0784,0.215
137.805824,0.0990,0.0656,-0.1303,0.176
138.809109,0.1989,-0.2058,-0.3680,0.466
139.818739,0.0114,-0.0428,-0.1042,0.113
140.824029,0.0705,0.0319,-0.0282,0.082
141.808461,-0.0215,0.0152,-0.1540,0.156
142.808730,-0.0718,-0.0150,-0.0350,0.081
143.809861,0.1737,0.0204,-0.0439,0.180
144.811158,-0.0627,0.1169,0.1751,0.220
145.811152,0.0758,-0.0162,-0.0771,0.109
146.812243,0.0393,0.0059,-0.2497,0.253
147.812766,-0.0518,-0.0328,0.0958,0.114
148.812857,0.0028,0.0040,-0.0031,0.006
149.812907,0.0913,0.0361,-0.2426,0.262
150.813582,-0.0146,0.0494,-0.2719,0.277
151.818995,-0.1943,-0.0263,0.1133,0.226
152.836978,-0.3893,-0.0420,-0.1716,0.427
153.822258,0.1302,0.1311,-0.7658,0.788
154.827477,0.1703,-0.0091,0.1032,0.199
155.834527,-0.0219,0.0373,-0.1280,0.135
156.840427,0.0817,0.0126,-0.0895,0.122
157.825739,0.0439,0.0363,-0.0247,0.062
158.826953,0.0075,0.0333,0.0827,0.089
159.827773,0.0220,0.0155,-0.0481,0.055
160.828303,-0.1017,-0.0384,0.0677,0.128
161.829285,0.1263,0.0383,-0.1089,0.171
162.829685,0.5532,-0.1494,-0.1227,0.586
163.830008,0.0456,-0.0395,-0.0518,0.079
164.830694,-0.1233,-0.0401,0.2684,0.298
165.831387,0.0127,0.0144,0.0301,0.036
166.831786,0.1087,0.0295,0.0877,0.143
167.832272,0.1520,0.0213,0.0419,0.159
168.833732,-0.0595,-0.0352,0.0639,0.094
169.834527,0.0732,0.0312,0.2362,0.249
170.842514,0.1687,0.0855,-0.0473,0.195
171.835700,0.2057,0.0251,0.2204,0.303
172.837089,-0.0621,-0.0294,0.0188,0.071
173.837601,-0.0578,0.0141,-0.0414,0.072
174.838103,-0.0627,0.0501,0.0616,0.101
175.838891,-0.0238,0.0006,-0.0558,0.061
176.838960,-0.0486,-0.0016,0.0489,0.069
177.839465,-0.0024,-0.0077,-0.1188,0.119
178.840462,-0.0159,-0.0127,-0.2047,0.206
179.841589,-0.0184,-0.0029,-0.0042,0.019
180.845233,-0.0845,-0.0269,-0.0098,0.089
181.844732,-0.0617,-0.0465,0.1177,0.141
182.860797,0.0558,0.0031,-0.0558,0.079
183.853236,-0.0182,-0.0148,-0.0337,0.041
184.845145,0.0676,0.0088,-0.0902,0.113
185.846301,0.0211,0.0055,0.0459,0.051
186.847794,0.0671,0.0213,-0.1392,0.156
187.848751,0.0311,0.0192,-0.0486,0.061
188.849090,0.0509,0.0227,-0.0926,0.108
189.849819,0.0466,-0.0343,-0.0264,0.064
190.850147,0.0248,0.0385,0.0967,0.107
191.851950,0.0332,0.0181,-0.1000,0.107
192.852029,-0.0698,0.0075,0.0424,0.082
193.852919,0.0096,0.0063,-0.0566,0.058
194.861414,-0.0184,-0.0168,-0.0690,0.073
195.859772,-0.1597,-0.0810,0.0553,0.187
196.861094,0.1624,-0.1946,0.5756,0.629
197.875560,-0.2231,0.0113,0.0087,0.224
198.855432,-0.2737,0.0861,-0.0663,0.294
199.855874,0.1609,0.1364,-0.1511,0.259
200.856034,0.0334,-0.0292,-0.4672,0.469
201.857167,-0.0800,0.0747,-0.3376,0.355
202.857878,0.5006,-0.1870,0.1118,0.546
203.859253,0.0204,0.0287,0.1246,0.130
204.860146,0.1818,0.0751,-0.3174,0.373
205.860970,0.0751,0.0430,0.0964,0.130
206.873740,-0.1664,-0.0429,0.2459,0.300
207.878211,0.2089,-0.0387,0.1859,0.282
208.863702,0.1730,-0.2245,0.1081,0.303
209.877998,-0.4300,0.0155,0.3895,0.580
210.879735,-0.2956,-0.1581,0.4880,0.592
211.865595,0.5439,0.0523,-0.5061,0.745
212.866396,-0.1249,0.0148,-0.1294,0.180
213.867396,-0.0894,0.0457,0.1373,0.170
214.867769,0.0061,0.0474,-0.2101,0.216
215.869385,-0.1361,0.1213,-0.2255,0.290
216.870158,0.1017,0.0226,-0.2081,0.233
217.870756,0.0796,0.0215,-0.2133,0.229
218.871305,0.0162,-0.2713,0.3093,0.412
219.871704,-0.2580,0.0328,0.3630,0.447
220.877692,-0.0541,-0.0417,0.0061,0.069
221.879011,0.2096,0.0588,0.0055,0.218
222.877692,-0.0925,-0.0184,0.0653,0.115
