time,ax,ay,az,aT
123.204407,-0.0584,-0.0230,-0.0125,0.064
124.205236,-0.0078,-0.0417,0.0602,0.074
125.205618,-0.0186,0.0183,-0.0088,0.027
126.206085,0.0029,0.0041,-0.0133,0.014
127.206712,0.0388,-0.0180,-0.0060,0.043
128.207285,0.0172,-0.0427,-0.0331,0.057
129.208908,-0.0159,-0.0063,-0.0071,0.019
130.212024,-0.0148,0.0189,0.0116,0.027
131.222436,-0.0385,0.0109,0.0054,0.040
132.221721,0.0227,-0.0023,0.0007,0.023
133.237748,0.0088,0.0145,-0.0051,0.018
134.214375,0.0041,0.0206,-0.0326,0.039
135.215437,0.0095,-0.0083,-0.0011,0.013
136.215848,-0.0008,0.0046,-0.0141,0.015
137.217194,-0.0011,0.0146,-0.0142,0.020
138.217623,-0.0128,0.0374,-0.0039,0.040
139.220673,0.1090,-0.0077,0.0194,0.111
140.222998,-0.0756,0.0343,-0.0286,0.088
141.223854,-0.0103,0.0381,-0.0106,0.041
142.224858,-0.0036,0.0249,-0.0063,0.026
143.238652,-0.0105,0.0235,0.0009,0.026
144.254584,-0.0114,-0.0083,-0.0050,0.015
145.227422,0.0172,-0.0102,0.0024,0.020
146.228349,0.0031,-0.0003,-0.0162,0.017
147.228802,-0.0026,-0.0000,-0.0232,0.023
148.229840,-0.0177,-0.0114,-0.0080,0.023
149.229912,0.0050,0.0123,-0.0179,0.022
150.230526,0.0108,0.0567,0.0039,0.058
151.231227,0.0037,0.0170,-0.0076,0.019
152.231884,0.0081,-0.0256,-0.0086,0.028
153.232934,-0.0079,-0.0304,-0.0138,0.034
154.233156,-0.0327,0.0565,-0.0230,0.069
155.239748,-0.0045,0.0576,0.0169,0.060
156.247440,0.0071,0.0075,-0.0133,0.017
157.253812,-0.0054,-0.0278,-0.0109,0.030
158.259304,0.0030,-0.0042,-0.0290,0.029
159.236833,0.0103,0.0013,-0.0283,0.030
160.237551,0.0005,-0.0111,-0.0189,0.022
161.238354,-0.0275,0.0259,0.0028,0.038
162.239571,-0.0056,0.0481,-0.0067,0.049
163.240095,-0.0142,0.0021,-0.0060,0.016
164.240854,-0.0374,0.0179,0.0097,0.043
165.241545,-0.0385,0.0243,0.0026,0.046
166.242136,-0.0906,0.1019,0.0100,0.137
167.244290,-0.0442,0.0843,-0.0243,0.098
168.244642,-0.0042,0.0130,-0.0059,0.015
169.245267,0.0130,-0.0560,-0.0096,0.058
170.250935,-0.0057,-0.0122,0.0103,0.017
171.261863,0.0003,0.0284,-0.0477,0.056
172.264884,-0.0200,0.0126,-0.0219,0.032
173.247371,-0.0060,0.0053,-0.0018,0.008
174.248435,0.0015,-0.0116,-0.0109,0.016
175.249180,-0.0097,0.0028,-0.0172,0.020
176.249896,-0.0193,0.0243,-0.0155,0.035
177.250360,0.0072,0.0564,-0.0049,0.057
178.250587,0.0069,0.0227,-0.0191,0.030
179.251437,-0.0005,-0.0018,-0.0418,0.042
180.251959,0.0581,0.0385,-0.0034,0.070
181.253322,0.0179,0.0394,-0.0130,0.045
182.253275,0.0269,0.0337,-0.0312,0.053
183.257663,0.0091,-0.0535,-0.0308,0.062
184.264758,0.0151,-0.0338,-0.0146,0.040
185.271765,-0.0050,-0.0249,-0.0106,0.027
